index,psnr_noisy,ssim_noisy,psnr_bilateral,ssim_bilateral
0281,22.8005,0.8187,28.5007,0.9222
0282,23.6078,0.8661,30.1937,0.9501
0283,17.1993,0.5400,24.0576,0.8103
0284,26.3273,0.8890,32.5475,0.9681
0285,23.0065,0.8541,29.7446,0.9476
0286,23.9651,0.8896,30.7370,0.9589
0287,18.8496,0.7050,24.3796,0.8572
0288,25.8590,0.9302,32.8288,0.9700
0289,24.4629,0.8681,31.6127,0.9592
0290,20.0946,0.7015,27.7383,0.8650
0291,22.2386,0.8785,28.3292,0.9416
0292,23.6972,0.9566,26.8388,0.9648
0293,21.2278,0.7735,28.3021,0.9131
0294,23.9458,0.8461,31.0194,0.9508
0295,20.1715,0.6753,27.8746,0.8547
0296,19.1528,0.7232,25.3267,0.8621
0297,19.8741,0.7762,25.8306,0.9005
0298,19.9364,0.8830,23.3451,0.9044
0299,22.8403,0.7886,30.0982,0.9337
0300,20.3126,0.8014,26.2762,0.8997
0301,20.0604,0.7842,25.9009,0.9101
0302,21.4620,0.9198,24.8685,0.9362
0303,19.7992,0.8143,26.0865,0.9099
0304,18.2170,0.5819,25.3458,0.8540
0305,11.3320,0.0873,15.5095,0.2877
0306,20.1076,0.7566,27.0317,0.9045
0307,11.8604,0.0972,16.4977,0.2812
0308,12.4451,0.2308,16.7855,0.4092
0309,11.9462,0.1346,15.9076,0.3486
0310,12.9176,0.1530,17.1841,0.4116
0311,11.8326,0.1229,15.9000,0.3222
0312,11.9235,0.0954,16.4164,0.3190
0313,13.5965,0.1811,17.9785,0.4558
0314,11.9221,0.2446,15.5165,0.4159
0315,11.7656,0.0983,15.8044,0.3407
